Filename,Segment,WC,WPS,Sixltr,Dic,Pronoun,I,We,Self,You,Other,Negate,Assent,Article,Preps,Number,Affect,Posemo,Posfeel,Optim,Negemo,Anx,Anger,Sad,Cogmech,Cause,Insight,Discrep,Inhib,Tentat,Certain,Senses,See,Hear,Feel,Social,Comm,Othref,Friends,Family,Humans,Time,Past,Present,Future,Space,Up,Down,Incl,Excl,Motion,Occup,School,Job,Achieve,Leisure,Home,Sports,TV,Music,Money,Metaph,Relig,Death,Physcal,Body,Sexual,Eating,Sleep,Groom,Swear,Nonfl,Fillers,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,Deceptive_Class
d_hilton_1.txt,1,273,16.06,15.75,75.09,10.26,5.13,1.83,6.96,0.73,1.47,2.2,0.37,11.36,10.26,0.73,2.93,1.47,0,0.37,1.47,0,0.37,0,3.3,0.73,2.2,0.37,0,1.1,2.93,1.83,0.73,0.73,0,6.59,1.1,4.03,0,0,0.73,3.66,6.96,6.23,0.37,4.03,1.47,0.37,5.86,3.3,1.47,1.1,0,0.73,0.73,4.76,4.4,0,0,0.37,0,0,0,0,4.4,1.1,0,0.37,0,2.93,0,0,0.37,20.51,7.69,8.06,0,0,0,0.73,0.73,1.47,0.73,1.1,0,1
d_hilton_10.txt,1,84,16.8,14.29,61.9,4.76,0,0,0,3.57,1.19,1.19,0,4.76,15.48,2.38,0,0,0,0,0,0,0,0,5.95,0,0,2.38,1.19,5.95,1.19,1.19,1.19,0,0,8.33,0,4.76,1.19,0,1.19,1.19,0,10.71,0,2.38,1.19,0,8.33,2.38,3.57,2.38,0,2.38,0,2.38,2.38,0,0,0,3.57,0,0,0,3.57,3.57,0,0,1.19,0,0,0,0,16.67,5.95,2.38,0,1.19,0,0,2.38,0,1.19,0,3.57,1
d_hilton_11.txt,1,196,19.6,18.88,76.53,13.27,11.73,0,11.73,0,0,1.53,0,7.65,16.84,1.53,2.04,1.02,0,0,1.02,0,0,0,3.57,0.51,1.53,0.51,1.02,0,0,2.55,1.02,1.53,0,3.06,2.55,0,0.51,0,0,5.1,9.18,4.08,1.53,2.04,1.02,0.51,8.67,2.04,2.04,3.06,1.53,2.55,1.02,2.55,2.55,0,0,0,0,0,0,0,1.53,0,0,0,1.02,0.51,0,0,0,10.2,4.59,3.57,0,0,0,0.51,1.02,0,0.51,0,0,1
d_hilton_12.txt,1,149,9.93,17.45,73.83,12.08,9.4,0,9.4,0,1.34,2.01,1.34,9.4,9.4,1.34,3.36,0,0,0,3.36,0,0.67,0.67,8.72,0,2.68,4.03,1.34,2.68,2.01,0.67,0.67,0,0,2.68,0,1.34,0.67,0,0.67,4.7,9.4,7.38,2.01,2.01,1.34,0,2.01,2.68,2.01,0,0,0,0,2.01,2.01,0,0,0,0.67,0,0,0,0.67,0,0,0,0,0.67,0,0,0,19.46,10.07,5.37,0,0,0,0,1.34,0,2.68,0,0,1
d_hilton_13.txt,1,209,17.42,13.88,74.16,12.92,3.35,5.74,9.09,0.48,0.96,2.39,0,9.09,9.09,1.44,4.31,0.96,0.48,0.48,3.35,0,1.44,0,3.83,0.48,0.96,0.96,0,1.91,1.44,2.39,0,2.39,0,11,2.87,7.18,0,0.96,0,3.83,11.48,2.87,0.48,4.31,2.87,0.48,5.26,1.44,1.91,1.44,0.48,0.96,0.48,1.44,1.44,0,0,0,1.91,0,0,0,1.44,0.96,0.48,0,0.48,0.96,0,0,0.48,9.57,4.78,2.39,0,0,0,0.48,0,0,1.91,0,0,1
d_hilton_14.txt,1,267,17.8,10.86,80.52,13.86,3,7.49,10.49,0,2.62,1.87,0,7.12,13.11,3,0.75,0,0,0,0.75,0,0.37,0.37,5.99,0.37,1.5,3.37,0,1.12,0.37,2.25,0.37,1.87,0,12.73,2.25,10.11,0,0.37,0,5.24,11.24,6.74,1.12,3.37,1.5,1.12,7.12,4.12,1.12,2.25,0.75,1.5,0.75,3,3,0,0,0,1.87,0,0,0,0,0,0,0,0.75,0,0,0,0,11.99,5.62,5.24,0,0,0,0,0,0.75,0.37,0,0,1
d_hilton_15.txt,1,784,23.76,13.52,78.32,11.35,3.19,4.59,7.78,0,1.4,2.55,0.13,7.65,15.82,1.53,2.93,0.89,0.26,0.26,2.04,0.26,0.89,0.26,5.61,0.64,1.4,2.17,0.26,2.42,0.38,1.91,0.77,1.02,0,10.08,1.91,6.12,0.13,0.89,0.26,3.7,9.06,4.21,0.89,6.38,1.91,1.15,4.72,5.74,1.79,1.66,0.51,1.15,0.26,1.91,1.91,0,0,0,0.38,0,0,0,1.66,0.51,0.26,0.26,0.38,0.64,0,0,0.38,8.55,3.95,2.68,0,0,0,0.26,0,0,1.66,0,0,1
d_hilton_16.txt,1,126,21,8.73,79.37,11.9,7.94,0,7.94,1.59,1.59,3.17,0,6.35,18.25,4.76,4.76,1.59,0,1.59,3.17,0.79,0.79,0.79,6.35,0.79,0,3.97,0.79,2.38,0.79,0.79,0,0.79,0,4.76,0.79,3.17,0,0,0.79,3.97,5.56,8.73,0.79,3.97,3.17,0,7.14,3.17,0.79,2.38,0,2.38,0,1.59,1.59,0,0,0,3.97,0,0,0,0.79,0,0,0.79,0,0,0,0,0,15.08,3.17,3.17,0,0,0,1.59,0.79,0,0.79,3.17,2.38,1
d_hilton_17.txt,1,130,18.57,18.46,71.54,10,1.54,5.38,6.92,0,1.54,2.31,0,7.69,16.15,2.31,2.31,0,0,0,2.31,0.77,0,0.77,6.15,0.77,1.54,2.31,0.77,3.85,0,0.77,0,0.77,0,7.69,0.77,6.92,0,0,0,6.92,6.15,1.54,2.31,4.62,1.54,0,5.38,3.08,0,1.54,0.77,0,0.77,3.85,3.85,0,0,0,0.77,0,0,0,2.31,0,0,0,0,2.31,0,0,0,13.85,3.85,5.38,0,0,0,1.54,0.77,0,0.77,1.54,0,1
d_hilton_18.txt,1,115,16.43,10.43,80.87,10.43,6.09,0,6.09,0,0.87,1.74,0,6.96,13.04,1.74,4.35,0.87,0,0.87,3.48,0.87,1.74,0,5.22,0,0,4.35,0,0.87,1.74,1.74,0.87,0,0,3.48,1.74,0.87,0,0,0.87,4.35,10.43,3.48,1.74,6.09,0.87,1.74,7.83,9.57,0,1.74,0,0,1.74,2.61,2.61,0,0,0,0.87,0,0,0,2.61,0.87,0.87,0,0,1.74,0,0,0.87,9.57,5.22,1.74,0.87,0,0,0.87,0,0,0.87,0,0,1
