Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
t_hilton_1.txt,1,122,86.14,81.64,46.61,83.88,11.09,20.49,77.05,35.25,5.74,4.10,0.00,4.10,0.00,0.00,0.00,1.64,10.66,5.74,6.56,4.92,4.92,0.00,13.11,3.28,0.00,2.46,5.74,1.64,5.74,4.10,0.82,0.00,0.00,0.82,4.92,0.00,0.82,0.00,0.00,4.10,0.00,0.82,0.82,1.64,0.82,0.00,2.46,2.46,0.00,0.00,3.28,0.00,0.00,0.00,3.28,10.66,4.92,0.00,2.46,3.28,0.00,6.56,5.74,0.00,21.31,3.28,13.11,5.74,0.82,1.64,4.92,4.10,0.00,0.00,2.46,0.00,0.82,1.64,0.00,0.00,24.59,9.84,9.02,2.46,0.00,0.00,0.00,0.00,0.00,0.82,1.64,0.82
t_hilton_10.txt,1,86,98.09,67.90,27.67,98.75,12.29,23.26,82.56,51.16,5.81,1.16,0.00,1.16,0.00,0.00,0.00,4.65,15.12,15.12,6.98,2.33,5.81,1.16,6.98,4.65,1.16,0.00,1.16,1.16,5.81,5.81,0.00,0.00,0.00,0.00,4.65,0.00,2.33,0.00,2.33,1.16,0.00,0.00,0.00,0.00,1.16,0.00,0.00,0.00,0.00,0.00,2.33,1.16,0.00,0.00,1.16,6.98,3.49,1.16,2.33,0.00,0.00,0.00,6.98,0.00,17.44,0.00,16.28,1.16,4.65,4.65,1.16,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.47,8.14,1.16,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.00,0.00
t_hilton_11.txt,1,131,93.26,67.64,67.14,99.00,14.56,12.98,90.08,47.33,7.63,5.34,2.29,3.05,0.00,0.00,0.00,2.29,7.63,16.03,6.87,4.58,4.58,0.00,11.45,10.69,3.05,0.00,3.82,3.05,6.11,6.11,0.00,0.00,0.00,0.00,6.11,0.76,0.76,0.00,0.76,6.11,0.00,0.76,0.76,1.53,0.76,2.29,0.76,0.76,0.00,0.00,2.29,0.00,0.00,0.00,2.29,12.21,6.11,0.76,0.76,4.58,0.00,8.40,0.76,0.00,19.85,3.05,12.98,6.11,0.76,5.34,3.05,4.58,0.00,0.00,0.76,0.00,0.76,0.00,0.00,0.00,21.37,6.87,5.34,0.00,0.00,0.00,0.00,4.58,0.00,1.53,1.53,1.53
t_hilton_12.txt,1,170,75.75,89.15,47.25,25.77,21.25,11.18,88.82,55.29,9.41,6.47,0.00,2.94,1.18,0.00,2.35,2.94,10.00,13.53,10.00,8.24,6.47,0.59,20.59,2.35,0.00,2.35,3.53,4.12,2.35,1.18,1.18,0.00,0.59,0.00,11.18,0.00,0.59,0.59,0.00,12.94,3.53,1.18,0.59,7.06,1.18,2.35,1.18,0.59,0.00,0.59,1.76,0.00,0.00,0.00,1.76,7.06,3.53,0.00,2.35,1.18,0.00,11.18,7.06,2.35,15.29,2.94,7.65,5.88,1.76,1.76,2.94,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,8.82,4.71,2.35,0.00,0.00,0.00,0.00,0.00,1.18,0.00,0.00,0.59
t_hilton_13.txt,1,184,82.97,82.23,3.78,98.05,11.50,15.22,83.15,46.74,4.89,3.80,0.00,2.72,1.09,0.00,0.00,1.09,9.78,10.33,9.24,5.43,8.15,0.00,11.96,4.89,0.00,0.00,1.63,1.63,6.52,5.98,0.54,0.00,0.00,0.00,7.07,0.00,1.09,0.54,1.63,3.80,0.00,1.09,1.09,1.09,0.00,1.63,1.63,1.09,0.54,0.00,4.35,0.54,0.54,0.00,3.26,9.78,3.80,1.63,2.72,1.09,0.54,10.33,2.72,0.00,9.78,1.63,7.07,1.63,4.35,7.07,2.72,1.09,0.00,0.00,1.63,0.00,1.09,0.00,0.54,0.00,13.59,7.07,1.63,0.00,0.00,0.00,1.63,0.00,0.00,2.17,0.00,1.09
t_hilton_14.txt,1,106,91.32,87.12,60.79,98.46,13.25,16.04,91.51,52.83,7.55,4.72,0.00,4.72,0.00,0.00,0.00,2.83,14.15,12.26,7.55,6.60,6.60,0.00,13.21,6.60,0.94,0.94,0.94,0.94,5.66,5.66,0.00,0.00,0.00,0.00,8.49,0.00,0.94,0.00,0.00,9.43,0.94,0.00,3.77,0.00,2.83,1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.38,6.60,0.00,0.94,2.83,0.00,5.66,4.72,0.94,23.58,2.83,14.15,8.49,2.83,7.55,2.83,1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.49,7.55,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
t_hilton_15.txt,1,159,84.20,35.28,48.36,98.46,19.88,16.35,90.57,55.35,11.95,6.92,6.29,0.00,0.63,0.00,0.00,5.03,13.84,11.32,8.81,3.77,6.29,1.26,13.84,8.18,2.52,0.63,1.89,2.52,6.92,6.29,0.63,0.63,0.00,0.00,4.40,0.00,0.00,0.63,0.63,10.06,0.63,1.26,1.89,3.14,1.89,1.26,1.89,0.63,1.26,0.00,2.52,0.63,0.00,0.00,1.89,6.92,1.26,0.00,3.77,1.89,0.00,8.18,3.77,0.00,14.47,1.26,11.32,3.14,2.52,2.52,5.03,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.24,5.03,5.66,0.00,0.00,0.63,0.00,1.26,0.00,1.89,2.52,1.26
t_hilton_16.txt,1,105,77.28,82.96,26.00,95.81,11.67,10.48,89.52,56.19,12.38,8.57,1.90,3.81,0.00,0.95,1.90,3.81,13.33,10.48,8.57,7.62,5.71,0.00,11.43,8.57,0.00,1.90,0.95,0.00,6.67,5.71,0.95,0.00,0.95,0.00,7.62,0.00,0.00,0.00,0.95,1.90,0.95,1.90,0.00,0.00,0.00,0.00,4.76,2.86,0.00,0.95,0.00,0.00,0.00,0.00,0.00,12.38,4.76,2.86,1.90,3.81,0.00,6.67,3.81,0.95,15.24,0.00,7.62,7.62,3.81,6.67,1.90,0.95,0.00,0.00,0.95,0.00,0.00,0.00,0.95,0.00,12.38,7.62,3.81,0.00,0.00,0.00,0.95,0.00,0.00,0.00,0.00,0.00
t_hilton_17.txt,1,68,34.65,92.92,14.70,99.00,34.00,14.71,92.65,57.35,16.18,11.76,1.47,10.29,0.00,0.00,0.00,4.41,7.35,8.82,13.24,2.94,8.82,1.47,17.65,10.29,4.41,0.00,0.00,7.35,7.35,7.35,0.00,0.00,0.00,0.00,11.76,0.00,0.00,0.00,0.00,11.76,1.47,1.47,0.00,1.47,2.94,4.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.24,11.76,0.00,1.47,0.00,0.00,14.71,1.47,0.00,7.35,0.00,5.88,1.47,4.41,7.35,1.47,4.41,0.00,0.00,1.47,0.00,0.00,0.00,1.47,0.00,5.88,2.94,1.47,0.00,0.00,0.00,0.00,1.47,0.00,0.00,0.00,0.00
t_hilton_18.txt,1,186,94.20,45.71,81.34,96.14,12.40,14.52,84.41,48.92,5.91,3.76,2.15,1.08,0.00,0.00,0.54,2.15,15.59,10.22,9.14,3.23,5.91,0.54,13.98,3.23,0.00,0.00,3.76,0.54,4.84,4.84,0.00,0.00,0.00,0.00,3.76,0.00,0.00,0.00,0.54,6.45,0.54,1.08,0.54,1.61,1.08,3.23,1.08,1.08,0.00,0.00,3.23,0.00,0.00,0.00,2.69,6.45,1.61,1.08,2.15,1.61,0.00,5.91,7.53,0.54,20.97,3.76,13.98,4.84,2.15,5.38,3.23,2.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.13,8.06,1.08,0.00,0.00,0.00,0.00,0.54,0.00,0.54,5.38,0.54
