Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
trial_lie_001.txt,1,16,1.00,1.00,99.00,25.77,4.00,6.25,100.00,81.25,18.75,18.75,18.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,6.25,0.00,37.50,18.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,0.00,0.00,0.00,18.75,25.00,0.00,0.00,0.00,0.00,6.25,18.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,0.00,0.00,18.75,0.00,0.00,18.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,6.25,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
trial_lie_002.txt,1,208,24.14,79.31,41.51,18.67,23.11,11.54,92.31,63.94,21.63,16.83,5.77,0.00,0.48,10.10,0.48,4.81,7.69,11.06,7.69,7.21,12.50,0.48,20.67,0.48,0.00,3.85,0.00,1.44,0.48,0.00,0.48,0.00,0.48,0.00,14.90,0.48,0.48,6.25,4.81,3.85,0.48,0.48,0.00,1.44,0.48,0.96,1.92,0.96,0.48,0.48,0.48,0.00,0.48,0.00,0.00,3.85,0.00,0.48,1.92,1.44,0.00,13.94,3.85,0.96,22.60,6.73,12.50,4.33,0.00,0.00,3.85,0.00,0.00,0.00,0.48,0.00,0.48,0.00,0.48,0.00,20.19,12.02,6.73,0.00,0.00,0.00,0.00,0.00,0.00,1.44,0.00,0.00
trial_lie_003.txt,1,8,1.92,1.00,99.00,25.77,8.00,0.00,100.00,75.00,12.50,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,37.50,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,12.50,37.50,0.00,0.00,0.00,0.00,12.50,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
trial_lie_004.txt,1,42,1.00,76.25,1.00,3.31,42.00,0.00,90.48,73.81,38.10,23.81,7.14,0.00,0.00,16.67,0.00,14.29,4.76,4.76,19.05,0.00,7.14,2.38,26.19,2.38,0.00,0.00,0.00,0.00,2.38,0.00,2.38,0.00,2.38,0.00,21.43,0.00,0.00,2.38,14.29,4.76,0.00,0.00,2.38,2.38,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,2.38,0.00,2.38,2.38,0.00,19.05,4.76,2.38,7.14,2.38,2.38,2.38,0.00,2.38,0.00,0.00,0.00,2.38,2.38,0.00,2.38,0.00,0.00,0.00,21.43,11.90,7.14,0.00,0.00,0.00,0.00,0.00,0.00,2.38,0.00,0.00
trial_lie_005.txt,1,168,4.55,81.40,2.24,3.31,42.00,6.55,95.83,68.45,32.14,22.62,9.52,0.00,1.79,11.31,0.00,9.52,4.17,8.93,10.12,3.57,10.12,1.79,24.40,2.38,2.98,2.98,0.00,0.60,3.57,0.60,2.98,1.19,0.00,0.00,22.02,0.00,0.00,1.19,11.31,7.74,2.38,0.60,1.79,2.38,0.60,2.38,4.17,1.79,2.38,0.00,1.19,0.00,0.60,0.00,1.19,3.57,0.60,0.60,1.79,1.19,0.00,16.67,3.57,2.38,7.74,1.79,3.57,2.38,0.00,0.00,0.60,0.00,0.00,1.79,1.79,1.19,0.60,0.00,0.00,0.00,17.26,5.36,8.33,0.00,0.00,1.79,0.00,0.00,0.00,0.60,0.00,1.19
trial_lie_006.txt,1,57,6.56,24.13,99.00,58.97,14.25,12.28,92.98,68.42,22.81,19.30,8.77,3.51,0.00,5.26,1.75,3.51,10.53,8.77,10.53,14.04,7.02,7.02,22.81,1.75,1.75,5.26,0.00,1.75,1.75,1.75,0.00,0.00,0.00,0.00,10.53,0.00,0.00,5.26,0.00,12.28,1.75,0.00,0.00,0.00,5.26,5.26,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.02,3.51,0.00,1.75,1.75,0.00,22.81,1.75,0.00,28.07,3.51,7.02,17.54,0.00,1.75,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,7.02,5.26,0.00,0.00,0.00,0.00,0.00,0.00,3.51,0.00,0.00
trial_lie_007.txt,1,116,38.60,56.86,97.46,13.98,12.89,8.62,93.10,59.48,16.38,13.79,9.48,0.86,0.00,3.45,0.00,2.59,7.76,12.93,11.21,6.90,10.34,0.86,20.69,2.59,2.59,1.72,1.72,2.59,2.59,0.86,1.72,0.00,0.00,0.86,12.07,0.00,0.00,0.00,3.45,5.17,0.86,0.00,0.00,2.59,0.86,0.86,1.72,0.00,0.86,0.86,2.59,0.86,0.00,0.00,1.72,12.93,8.62,0.86,0.86,1.72,0.86,9.48,7.76,1.72,25.00,8.62,12.07,4.31,0.00,8.62,0.00,0.00,0.00,0.00,0.86,0.00,0.86,0.00,0.86,0.00,30.17,21.55,6.90,0.00,0.00,0.00,0.00,0.00,0.00,1.72,0.00,0.00
trial_lie_008.txt,1,31,54.54,25.93,99.00,25.77,15.50,6.45,96.77,64.52,16.13,9.68,6.45,3.23,0.00,0.00,0.00,6.45,12.90,16.13,9.68,3.23,12.90,6.45,19.35,3.23,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.68,0.00,0.00,0.00,0.00,9.68,3.23,0.00,0.00,0.00,0.00,6.45,0.00,0.00,0.00,0.00,3.23,0.00,0.00,0.00,3.23,19.35,16.13,0.00,0.00,3.23,0.00,12.90,6.45,0.00,22.58,9.68,6.45,6.45,0.00,16.13,0.00,0.00,0.00,0.00,3.23,0.00,3.23,0.00,3.23,0.00,19.35,12.90,3.23,0.00,0.00,0.00,0.00,0.00,0.00,3.23,0.00,0.00
trial_lie_009.txt,1,42,4.15,31.71,98.01,25.77,14.00,19.05,97.62,66.67,26.19,11.90,7.14,2.38,2.38,0.00,0.00,14.29,4.76,9.52,9.52,9.52,9.52,4.76,23.81,2.38,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,0.00,0.00,0.00,14.29,4.76,0.00,4.76,2.38,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,2.38,0.00,0.00,2.38,0.00,11.90,4.76,2.38,19.05,2.38,9.52,9.52,0.00,2.38,4.76,0.00,0.00,0.00,4.76,0.00,2.38,0.00,4.76,0.00,35.71,19.05,11.90,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00
trial_lie_010.txt,1,59,1.00,11.78,84.61,97.07,7.38,10.17,94.92,67.80,28.81,16.95,13.56,0.00,0.00,3.39,0.00,11.86,0.00,10.17,23.73,11.86,3.39,3.39,27.12,0.00,0.00,0.00,0.00,0.00,5.08,5.08,0.00,0.00,0.00,0.00,8.47,0.00,0.00,0.00,3.39,16.95,6.78,0.00,0.00,3.39,5.08,3.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.78,0.00,6.78,0.00,0.00,0.00,10.17,22.03,1.69,6.78,1.69,3.39,1.69,6.78,0.00,0.00,0.00,0.00,0.00,1.69,0.00,0.00,0.00,1.69,0.00,37.29,22.03,1.69,0.00,0.00,0.00,0.00,5.08,0.00,8.47,0.00,0.00
trial_lie_011.txt,1,73,55.02,39.19,46.99,9.10,18.25,12.33,93.15,67.12,19.18,8.22,5.48,1.37,0.00,1.37,0.00,10.96,8.22,17.81,10.96,5.48,6.85,2.74,13.70,1.37,0.00,2.74,0.00,0.00,1.37,0.00,1.37,0.00,0.00,1.37,5.48,1.37,0.00,0.00,2.74,5.48,0.00,0.00,1.37,0.00,2.74,1.37,0.00,0.00,0.00,0.00,1.37,1.37,0.00,0.00,0.00,5.48,2.74,1.37,1.37,0.00,0.00,12.33,2.74,0.00,16.44,1.37,9.59,5.48,4.11,2.74,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00,1.37,0.00,23.29,6.85,9.59,0.00,0.00,0.00,0.00,2.74,0.00,1.37,2.74,0.00
trial_lie_012.txt,1,18,1.92,13.32,23.51,25.77,6.00,11.11,88.89,55.56,16.67,5.56,5.56,0.00,0.00,0.00,0.00,11.11,0.00,5.56,22.22,11.11,0.00,5.56,27.78,5.56,5.56,0.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,5.56,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,16.67,5.56,5.56,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,27.78,16.67,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00
trial_lie_013.txt,1,61,7.63,12.56,62.75,25.77,20.33,13.11,96.72,68.85,31.15,18.03,16.39,0.00,0.00,1.64,0.00,13.11,4.92,9.84,14.75,3.28,4.92,1.64,29.51,1.64,0.00,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.20,1.64,0.00,0.00,3.28,11.48,3.28,0.00,0.00,6.56,1.64,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.92,1.64,1.64,1.64,0.00,0.00,22.95,6.56,0.00,3.28,0.00,3.28,0.00,4.92,0.00,0.00,0.00,0.00,0.00,1.64,0.00,0.00,1.64,1.64,0.00,22.95,4.92,6.56,0.00,0.00,0.00,0.00,9.84,0.00,1.64,0.00,0.00
