Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
trial_truth_001.txt,1,36,93.26,79.76,1.00,77.00,12.00,27.78,86.11,50.00,13.89,8.33,2.78,0.00,0.00,0.00,5.56,5.56,11.11,13.89,2.78,0.00,8.33,0.00,8.33,2.78,2.78,0.00,0.00,2.78,2.78,2.78,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,13.89,2.78,2.78,2.78,2.78,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,5.56,0.00,22.22,19.44,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
trial_truth_002.txt,1,56,33.83,94.58,2.24,25.77,11.20,17.86,82.14,60.71,25.00,10.71,0.00,1.79,3.57,0.00,5.36,14.29,3.57,14.29,10.71,1.79,5.36,1.79,16.07,1.79,1.79,1.79,1.79,1.79,0.00,0.00,0.00,0.00,0.00,0.00,17.86,1.79,0.00,0.00,0.00,12.50,1.79,0.00,1.79,1.79,1.79,5.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.36,3.57,0.00,0.00,1.79,0.00,0.00,16.07,0.00,3.57,0.00,1.79,1.79,3.57,1.79,1.79,0.00,0.00,0.00,1.79,0.00,0.00,0.00,1.79,0.00,30.36,17.86,10.71,0.00,0.00,0.00,0.00,0.00,0.00,1.79,0.00,0.00
trial_truth_003.txt,1,13,10.57,1.07,94.81,25.77,3.25,0.00,100.00,38.46,15.38,15.38,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,7.69,7.69,0.00,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,0.00,0.00,7.69,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.85,0.00,23.08,38.46,7.69,0.00,92.31,46.15,30.77,0.00,0.00,0.00,0.00,15.38,0.00,0.00,0.00,0.00
trial_truth_004.txt,1,217,70.62,86.57,39.18,18.93,16.69,7.37,94.93,61.29,16.13,11.52,2.76,0.92,0.46,7.37,0.00,4.15,9.68,16.59,7.83,5.07,9.68,0.92,16.59,1.84,1.84,0.92,1.38,1.38,0.46,0.00,0.46,0.00,0.46,0.00,14.75,0.00,0.00,0.00,7.83,6.45,0.92,0.46,0.46,3.23,0.92,1.38,2.76,0.46,1.38,0.00,0.92,0.92,0.00,0.00,0.00,4.15,0.92,0.00,2.30,0.92,0.00,10.60,4.61,0.92,22.12,4.15,15.21,4.15,1.38,0.46,1.84,0.00,0.00,0.00,3.69,0.00,0.46,0.00,3.23,0.00,29.95,14.29,11.52,0.00,0.00,0.00,0.00,1.38,0.00,2.76,0.00,0.00
trial_truth_005.txt,1,100,61.12,69.14,36.95,25.77,20.00,11.00,88.00,62.00,13.00,9.00,3.00,0.00,0.00,6.00,0.00,4.00,10.00,15.00,11.00,7.00,9.00,2.00,18.00,0.00,0.00,4.00,2.00,1.00,2.00,1.00,1.00,1.00,0.00,0.00,13.00,0.00,0.00,0.00,6.00,15.00,3.00,3.00,3.00,2.00,3.00,3.00,3.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1.00,0.00,4.00,1.00,0.00,11.00,5.00,0.00,19.00,3.00,10.00,7.00,1.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,7.00,8.00,0.00,0.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00
trial_truth_006.txt,1,68,3.93,61.58,74.76,25.77,11.33,8.82,92.65,70.59,22.06,17.65,8.82,0.00,1.47,0.00,7.35,4.41,7.35,7.35,14.71,11.76,8.82,2.94,29.41,1.47,0.00,1.47,0.00,0.00,2.94,1.47,1.47,0.00,0.00,0.00,20.59,0.00,0.00,0.00,0.00,10.29,0.00,0.00,1.47,1.47,0.00,7.35,8.82,0.00,8.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.59,5.88,2.94,10.29,4.41,4.41,1.47,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.06,11.76,4.41,0.00,0.00,0.00,0.00,2.94,0.00,2.94,0.00,0.00
trial_truth_007.txt,1,141,20.23,69.02,42.45,77.89,7.83,11.35,96.45,60.28,22.70,16.31,7.80,1.42,0.71,3.55,2.84,6.38,9.22,7.09,14.18,2.84,5.67,3.55,26.24,1.42,1.42,1.42,0.00,0.71,2.84,2.84,0.00,0.00,0.00,0.00,16.31,3.55,0.00,1.42,6.38,9.93,3.55,0.71,0.71,2.13,1.42,2.13,1.42,0.00,1.42,0.00,2.13,0.00,2.13,0.00,0.00,8.51,2.84,0.71,2.13,3.55,0.71,12.06,10.64,0.71,10.64,2.13,5.67,2.84,1.42,0.00,0.71,0.00,0.00,0.00,3.55,0.00,1.42,2.13,1.42,0.00,29.08,17.02,6.38,0.00,0.00,0.00,0.00,1.42,0.00,4.26,0.00,0.00
trial_truth_008.txt,1,94,34.32,58.41,77.49,45.30,94.00,10.64,98.94,56.38,20.21,12.77,6.38,0.00,0.00,6.38,0.00,7.45,6.38,11.70,9.57,9.57,2.13,3.19,18.09,7.45,5.32,0.00,7.45,3.19,5.32,3.19,2.13,1.06,0.00,0.00,15.96,0.00,0.00,6.38,0.00,15.96,7.45,1.06,1.06,2.13,1.06,4.26,4.26,1.06,1.06,2.13,0.00,0.00,0.00,0.00,0.00,5.32,2.13,2.13,0.00,0.00,1.06,14.89,2.13,0.00,14.89,0.00,7.45,7.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.77,0.00,8.51,0.00,0.00,0.00,0.00,2.13,0.00,2.13,0.00,0.00
trial_truth_009.txt,1,77,8.40,99.00,97.17,25.77,19.25,11.69,90.91,61.04,24.68,14.29,2.60,0.00,11.69,0.00,0.00,10.39,5.19,7.79,9.09,5.19,14.29,0.00,16.88,2.60,1.30,0.00,2.60,1.30,0.00,0.00,0.00,0.00,0.00,0.00,22.08,0.00,0.00,0.00,0.00,15.58,6.49,0.00,1.30,7.79,0.00,5.19,2.60,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,6.49,3.90,0.00,1.30,1.30,0.00,1.30,16.88,0.00,19.48,1.30,14.29,5.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.58,5.19,7.79,0.00,0.00,0.00,0.00,0.00,0.00,2.60,0.00,0.00
trial_truth_010.txt,1,78,14.28,18.47,92.13,73.64,9.75,17.95,93.59,62.82,17.95,12.82,10.26,0.00,0.00,2.56,0.00,5.13,3.85,12.82,8.97,11.54,12.82,1.28,15.38,3.85,3.85,0.00,1.28,2.56,5.13,3.85,1.28,1.28,0.00,0.00,3.85,0.00,1.28,0.00,2.56,8.97,2.56,1.28,0.00,3.85,0.00,1.28,1.28,0.00,1.28,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,2.56,1.28,1.28,0.00,12.82,0.00,2.56,17.95,5.13,8.97,3.85,3.85,0.00,0.00,3.85,0.00,0.00,2.56,0.00,0.00,1.28,1.28,0.00,15.38,10.26,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
