Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
t_hilton_1.txt,1,85,87.70,82.67,12.57,95.55,12.14,11.76,80.00,55.29,11.76,10.59,3.53,5.88,0.00,0.00,1.18,1.18,11.76,14.12,9.41,3.53,5.88,0.00,11.76,8.24,1.18,0.00,5.88,1.18,9.41,7.06,2.35,1.18,0.00,1.18,8.24,0.00,0.00,0.00,0.00,1.18,0.00,0.00,0.00,0.00,0.00,1.18,2.35,1.18,1.18,0.00,0.00,0.00,0.00,0.00,0.00,9.41,5.88,0.00,0.00,2.35,1.18,7.06,2.35,0.00,9.41,0.00,7.06,3.53,1.18,4.71,4.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.29,8.24,2.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.35,2.35
t_hilton_10.txt,1,161,65.08,50.00,80.16,96.64,12.38,18.63,85.71,52.17,11.80,8.07,4.35,1.86,0.62,0.00,1.24,3.73,11.18,9.94,10.56,4.97,6.83,2.48,16.77,8.07,1.86,1.24,1.86,1.86,4.97,4.97,0.00,0.00,0.00,0.00,8.07,0.00,0.00,0.00,0.00,9.94,0.62,0.62,1.24,3.11,0.62,3.73,1.86,1.24,0.00,0.00,2.48,0.00,0.62,0.00,1.86,4.97,1.86,0.62,1.86,1.24,0.00,9.32,4.97,0.62,18.63,1.24,10.56,7.45,0.00,3.11,3.73,1.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.15,5.59,3.73,0.00,0.00,0.62,1.86,0.00,0.00,3.73,0.00,0.62
t_hilton_11.txt,1,225,73.88,76.15,82.75,75.29,17.31,15.56,92.00,60.00,12.44,6.67,1.33,5.33,0.00,0.00,0.00,5.78,10.22,15.11,11.56,5.33,5.33,2.67,23.56,6.22,2.22,0.00,1.78,0.89,4.00,3.11,0.44,0.00,0.44,0.00,9.78,0.00,0.44,0.00,0.00,10.22,3.11,1.33,1.33,0.89,0.00,4.00,5.78,2.22,0.89,2.67,0.00,0.00,0.00,0.00,0.00,9.33,5.78,1.78,1.33,0.44,0.00,11.11,4.89,1.78,19.56,3.56,9.33,8.00,2.67,1.33,1.78,0.44,0.00,0.00,1.78,0.00,0.00,1.33,0.44,0.00,11.11,6.67,2.67,0.00,0.00,0.00,0.89,0.00,0.00,0.89,0.00,0.00
t_hilton_12.txt,1,206,79.88,28.02,78.47,79.01,25.75,10.68,86.89,48.06,10.68,6.31,4.37,0.00,1.46,0.00,0.49,4.37,7.77,13.59,7.77,4.37,5.34,2.43,16.50,5.34,1.94,0.97,5.34,3.40,7.77,5.34,2.43,0.49,0.00,1.46,4.37,0.49,0.00,0.00,0.00,10.19,0.97,1.46,1.94,2.43,1.46,4.85,0.49,0.00,0.49,0.00,1.46,0.49,0.00,0.00,0.97,8.74,0.49,1.94,3.40,3.40,0.00,6.80,8.25,0.49,17.48,1.94,10.68,4.85,3.40,2.43,1.94,2.91,0.00,0.00,0.49,0.00,0.49,0.00,0.00,0.00,20.39,5.83,1.94,0.49,0.49,0.49,0.49,1.46,0.49,1.46,5.83,1.46
t_hilton_13.txt,1,122,80.29,68.85,76.88,40.51,15.25,19.67,86.89,50.82,18.85,10.66,6.56,2.46,0.00,0.00,1.64,8.20,7.38,14.75,1.64,4.92,4.92,0.82,9.02,4.92,1.64,3.28,5.74,3.28,4.10,2.46,1.64,0.00,0.00,0.82,11.48,0.00,1.64,0.00,0.82,5.74,0.82,0.00,0.00,1.64,1.64,1.64,0.00,0.00,0.00,0.00,1.64,1.64,0.00,0.00,0.00,9.84,2.46,0.82,3.28,2.46,0.82,8.20,2.46,0.00,16.39,0.82,7.38,9.02,4.92,0.82,3.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.03,5.74,8.20,0.00,0.00,0.00,0.82,0.00,1.64,0.00,0.00,1.64
t_hilton_14.txt,1,107,68.97,20.02,98.20,61.21,21.40,16.82,87.85,53.27,12.15,6.54,4.67,0.00,1.87,0.00,0.00,4.67,8.41,12.15,9.35,3.74,6.54,2.80,17.76,4.67,1.87,0.00,3.74,0.93,4.67,2.80,0.93,0.00,0.00,0.93,1.87,0.00,0.00,0.00,0.00,12.15,0.93,0.93,2.80,4.67,1.87,4.67,0.00,0.00,0.00,0.00,1.87,0.00,0.00,0.00,1.87,3.74,0.00,0.00,2.80,0.93,0.00,2.80,9.35,3.74,26.17,7.48,17.76,4.67,0.93,2.80,5.61,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.95,4.67,5.61,0.00,0.00,0.00,0.00,0.00,0.93,1.87,0.00,1.87
t_hilton_15.txt,1,397,80.19,27.28,93.25,63.98,16.54,16.88,88.41,54.41,13.85,10.08,8.31,0.25,0.25,0.25,1.01,3.78,11.84,12.34,7.30,4.53,5.04,2.52,15.37,3.53,1.76,1.26,2.27,1.51,3.02,2.27,0.25,0.00,0.00,0.00,6.80,0.25,0.76,0.50,0.00,9.07,2.02,1.26,2.02,1.26,0.50,2.52,1.01,0.00,1.01,0.00,2.02,0.00,1.26,0.00,0.76,4.03,0.50,1.51,0.76,1.01,0.76,8.31,5.04,0.50,19.40,3.53,10.83,6.30,4.79,2.77,3.27,0.50,0.00,0.00,0.25,0.00,0.00,0.00,0.25,0.00,11.59,6.05,2.52,0.00,0.00,0.00,0.00,0.76,0.50,1.26,0.00,0.50
t_hilton_16.txt,1,135,97.53,47.04,33.94,8.22,16.88,20.74,84.44,49.63,11.11,7.41,5.19,0.74,0.74,0.00,0.74,3.70,13.33,15.56,3.70,4.44,2.22,0.74,10.37,5.93,2.22,2.22,2.22,1.48,5.93,2.22,3.70,1.48,0.00,0.74,6.67,0.00,0.00,0.00,0.00,10.37,0.00,2.22,2.22,2.22,1.48,2.96,5.19,2.96,1.48,0.74,1.48,0.74,0.00,0.00,0.74,7.41,1.48,0.74,3.70,0.00,2.96,5.19,2.96,0.00,12.59,2.96,6.67,3.70,3.70,0.74,2.96,0.74,0.00,0.00,0.74,0.00,0.00,0.74,0.00,0.00,14.81,5.93,5.93,0.00,0.00,0.00,0.00,0.00,0.00,0.74,1.48,0.74
t_hilton_17.txt,1,223,78.58,58.85,53.50,9.31,11.74,18.83,79.37,48.88,10.31,7.62,4.04,2.24,0.00,0.90,0.45,2.69,6.73,13.90,8.07,3.59,5.83,2.69,14.80,4.04,1.35,0.90,5.83,1.79,4.04,1.35,2.69,0.90,0.45,0.45,8.97,1.79,0.00,0.45,1.79,5.83,0.00,0.00,1.79,0.45,1.79,2.24,0.45,0.45,0.00,0.00,0.90,0.00,0.00,0.00,0.90,8.07,3.14,0.00,3.14,0.90,0.90,5.83,5.83,0.45,17.94,4.93,8.07,6.28,0.00,4.48,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.25,8.52,4.04,0.00,0.00,0.45,0.00,0.90,0.00,0.45,0.00,0.90
t_hilton_18.txt,1,161,82.12,30.97,82.93,25.77,10.73,17.39,83.23,47.83,8.70,6.21,4.97,0.62,0.00,0.00,0.62,2.48,8.70,13.04,10.56,4.97,4.35,1.24,14.91,5.59,0.62,1.86,3.11,1.86,7.45,3.73,3.73,0.00,1.86,0.00,3.73,0.00,0.00,0.00,0.00,6.83,0.62,1.86,0.62,1.24,1.24,2.48,1.24,0.00,0.00,1.24,3.73,0.62,0.00,0.00,3.11,2.48,1.24,0.00,1.24,0.00,0.00,8.07,6.83,0.00,19.25,1.86,12.42,5.59,4.35,5.59,3.73,3.11,0.00,0.00,1.86,0.62,0.62,0.00,0.62,0.00,29.19,9.32,4.97,0.62,0.00,2.48,1.86,1.24,0.00,1.86,0.00,6.83
