Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
d_hilton_1.txt,1,85,68.72,82.67,22.52,99.00,14.17,25.88,88.24,54.12,12.94,10.59,4.71,3.53,0.00,0.00,2.35,2.35,9.41,11.76,7.06,4.71,9.41,1.18,10.59,7.06,3.53,0.00,1.18,2.35,8.24,8.24,0.00,0.00,0.00,0.00,12.94,1.18,1.18,0.00,1.18,10.59,1.18,0.00,2.35,3.53,2.35,1.18,4.71,1.18,0.00,2.35,2.35,0.00,0.00,0.00,0.00,8.24,8.24,0.00,0.00,0.00,0.00,3.53,3.53,0.00,11.76,3.53,8.24,3.53,1.18,3.53,2.35,1.18,0.00,0.00,1.18,0.00,0.00,1.18,0.00,0.00,14.12,5.88,5.88,0.00,0.00,0.00,1.18,1.18,0.00,0.00,0.00,0.00
d_hilton_10.txt,1,65,48.32,82.21,7.38,95.12,9.29,20.00,83.08,49.23,10.77,6.15,0.00,1.54,1.54,0.00,3.08,4.62,7.69,7.69,13.85,6.15,4.62,1.54,18.46,7.69,1.54,0.00,0.00,3.08,4.62,4.62,0.00,0.00,0.00,0.00,9.23,0.00,0.00,0.00,0.00,12.31,0.00,3.08,1.54,3.08,3.08,1.54,1.54,0.00,0.00,0.00,3.08,0.00,0.00,0.00,3.08,6.15,1.54,0.00,1.54,3.08,0.00,4.62,12.31,0.00,12.31,3.08,7.69,1.54,0.00,1.54,3.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.15,4.62,7.69,0.00,0.00,0.00,9.23,0.00,0.00,1.54,0.00,3.08
d_hilton_11.txt,1,71,97.68,89.74,50.85,99.00,11.83,16.90,85.92,52.11,11.27,5.63,1.41,4.23,0.00,0.00,0.00,5.63,12.68,18.31,5.63,2.82,4.23,0.00,11.27,4.23,1.41,0.00,0.00,2.82,7.04,7.04,0.00,0.00,0.00,0.00,9.86,0.00,0.00,0.00,0.00,5.63,0.00,0.00,1.41,2.82,1.41,0.00,1.41,1.41,0.00,0.00,1.41,1.41,0.00,0.00,0.00,9.86,4.23,1.41,0.00,4.23,0.00,5.63,2.82,0.00,21.13,4.23,16.90,1.41,2.82,5.63,1.41,2.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.86,8.45,0.00,0.00,0.00,0.00,0.00,1.41,0.00,0.00,0.00,0.00
d_hilton_12.txt,1,102,62.04,42.23,18.79,90.49,12.75,20.59,85.29,57.84,8.82,7.84,4.90,0.00,0.00,0.00,2.94,0.98,11.76,9.80,13.73,3.92,8.82,2.94,18.63,6.86,2.94,0.98,0.00,0.98,5.88,4.90,0.98,0.00,0.98,0.00,9.80,2.94,1.96,0.00,0.00,11.76,1.96,0.98,1.96,2.94,0.98,3.92,0.98,0.00,0.00,0.98,4.90,0.00,0.00,0.00,3.92,9.80,3.92,0.98,1.96,2.94,0.98,11.76,5.88,0.00,6.86,0.98,2.94,3.92,1.96,0.98,0.00,0.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00,11.76,5.88,2.94,0.00,0.00,0.00,1.96,0.00,0.00,0.98,0.00,0.00
d_hilton_13.txt,1,102,91.24,81.12,11.28,98.87,20.40,20.59,87.25,50.00,10.78,2.94,0.00,2.94,0.00,0.00,0.00,7.84,12.75,12.75,6.86,2.94,5.88,0.98,11.76,9.80,4.90,1.96,0.98,3.92,7.84,5.88,0.00,0.00,0.00,0.00,6.86,0.00,1.96,0.00,0.00,8.82,1.96,0.00,1.96,0.98,4.90,0.00,1.96,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,4.90,2.94,4.90,6.86,0.98,4.90,6.86,0.00,13.73,1.96,11.76,1.96,0.98,4.90,1.96,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.71,2.94,5.88,0.00,0.00,0.00,1.96,3.92,0.00,0.00,0.00,0.00
d_hilton_14.txt,1,81,73.05,73.14,58.07,99.00,20.25,9.88,97.53,60.49,13.58,4.94,1.23,2.47,1.23,0.00,0.00,8.64,16.05,8.64,11.11,6.17,4.94,1.23,16.05,11.11,0.00,0.00,0.00,0.00,11.11,9.88,1.23,0.00,0.00,0.00,7.41,0.00,0.00,0.00,0.00,7.41,1.23,0.00,0.00,2.47,1.23,2.47,1.23,0.00,1.23,0.00,2.47,1.23,0.00,0.00,1.23,11.11,3.70,0.00,1.23,4.94,1.23,8.64,11.11,0.00,17.28,3.70,13.58,2.47,2.47,4.94,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.17,4.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.23,0.00,0.00
d_hilton_15.txt,1,86,69.13,45.37,83.08,99.00,12.29,19.77,93.02,51.16,8.14,5.81,2.33,2.33,1.16,0.00,0.00,2.33,9.30,10.47,6.98,6.98,9.30,2.33,16.28,10.47,1.16,0.00,0.00,1.16,10.47,8.14,1.16,0.00,0.00,0.00,5.81,1.16,1.16,0.00,1.16,10.47,1.16,1.16,0.00,1.16,1.16,5.81,3.49,3.49,0.00,0.00,1.16,0.00,0.00,0.00,1.16,11.63,4.65,0.00,2.33,3.49,1.16,8.14,5.81,0.00,17.44,4.65,15.12,1.16,2.33,3.49,4.65,0.00,0.00,0.00,1.16,0.00,0.00,1.16,0.00,0.00,11.63,5.81,3.49,0.00,0.00,0.00,2.33,0.00,0.00,0.00,0.00,0.00
d_hilton_16.txt,1,79,55.57,18.78,76.41,99.00,11.29,18.99,88.61,55.70,11.39,7.59,7.59,0.00,0.00,0.00,0.00,3.80,10.13,10.13,12.66,7.59,7.59,0.00,21.52,8.86,1.27,3.80,0.00,0.00,10.13,10.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.59,2.53,1.27,1.27,1.27,1.27,1.27,7.59,5.06,0.00,2.53,0.00,0.00,0.00,0.00,0.00,1.27,0.00,1.27,0.00,0.00,0.00,8.86,8.86,0.00,15.19,6.33,10.13,2.53,1.27,2.53,3.80,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.13,8.86,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
d_hilton_17.txt,1,67,58.58,44.07,59.13,99.00,13.40,17.91,97.01,59.70,11.94,7.46,5.97,0.00,0.00,0.00,1.49,4.48,13.43,8.96,10.45,8.96,8.96,0.00,14.93,4.48,0.00,0.00,0.00,1.49,10.45,8.96,0.00,0.00,0.00,0.00,7.46,0.00,2.99,0.00,0.00,8.96,0.00,0.00,1.49,1.49,2.99,2.99,1.49,1.49,0.00,0.00,5.97,0.00,0.00,0.00,5.97,8.96,2.99,1.49,1.49,2.99,0.00,10.45,1.49,0.00,14.93,2.99,10.45,2.99,1.49,4.48,1.49,4.48,0.00,0.00,1.49,0.00,0.00,0.00,1.49,0.00,19.40,5.97,5.97,0.00,0.00,0.00,1.49,1.49,0.00,1.49,2.99,0.00
d_hilton_18.txt,1,76,49.71,70.08,81.22,74.74,15.20,17.11,90.79,59.21,14.47,9.21,3.95,5.26,0.00,0.00,0.00,5.26,10.53,11.84,13.16,6.58,6.58,2.63,21.05,3.95,1.32,2.63,0.00,0.00,3.95,2.63,0.00,0.00,0.00,0.00,9.21,1.32,1.32,0.00,0.00,9.21,1.32,1.32,2.63,0.00,1.32,2.63,0.00,0.00,0.00,0.00,1.32,1.32,0.00,0.00,0.00,11.84,7.89,1.32,1.32,2.63,0.00,13.16,7.89,2.63,21.05,1.32,15.79,5.26,1.32,2.63,2.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.47,3.95,0.00,0.00,0.00,0.00,2.63,1.32,0.00,6.58,0.00,0.00
